signal,period,n_trades,sharpe,cagr_%,max_dd_%,hit_rate_%,avg_return_%,profit_factor,avg_days
original,train,11,0.24,-1.3,-29.8,18.2,-2.26,0.13,3.6
original,val,0,,,,,,,
original,test,4,0.2,1.3,-19.2,75.0,4.69,50.04,11.0
original+SPY,train,11,0.28,-1.3,-31.1,18.2,-2.26,0.13,3.6
original+SPY,val,0,,,,,,,
original+SPY,test,4,0.21,0.7,-21.3,75.0,4.69,50.04,11.0
relaxed_v2,train,173,0.97,0.8,-51.1,37.6,0.37,1.27,5.7
relaxed_v2,val,0,,,,,,,
relaxed_v2,test,164,0.98,2.4,-55.6,40.2,-0.38,0.76,6.8
relaxed_v2+SPY,train,173,0.98,0.7,-53.7,37.6,0.37,1.27,5.7
relaxed_v2+SPY,val,0,,,,,,,
relaxed_v2+SPY,test,164,0.98,1.9,-55.5,40.2,-0.38,0.76,6.8
v2_regime>=3,train,173,0.97,0.8,-51.1,37.6,0.37,1.27,5.7
v2_regime>=3,val,0,,,,,,,
v2_regime>=3,test,151,1.0,1.0,-58.1,36.4,-0.55,0.66,6.6
v2_regime>=3+SPY,train,173,0.98,0.7,-53.7,37.6,0.37,1.27,5.7
v2_regime>=3+SPY,val,0,,,,,,,
v2_regime>=3+SPY,test,151,1.0,0.6,-58.1,36.4,-0.55,0.66,6.6
v2_regime>=4,train,159,0.92,-0.9,-52.6,35.2,0.13,1.1,5.5
v2_regime>=4,val,0,,,,,,,
v2_regime>=4,test,131,0.95,-6.4,-61.0,37.4,-0.66,0.6,6.5
v2_regime>=4+SPY,train,159,0.93,-1.0,-56.5,35.2,0.13,1.1,5.5
v2_regime>=4+SPY,val,0,,,,,,,
v2_regime>=4+SPY,test,131,0.95,-6.9,-61.0,37.4,-0.66,0.6,6.5
